aspect term	category	polarity	text
;null	 grading	 positive	She grades fairly.
;null	 teacher	 negative	very boring and not clear.
;null	 teacher	 positive	But he's a nice guy though.
;class;credit	 attendance attendance	 neutral neutral	Show up to class because she may give extra credit.
;exams	 exam	 negative	Little misleading when discussing exams.
;information	 relevant	 positive	I learned more information in this one class than I ever have in any of my other classes combined.
;null	 teacher	 positive	He's also really entertaining for an old dude as well.
;writing;grammar	 exam exam	 neutral neutral	I do not think I'll take Prof. Everett next semester, but if you choose to, you better be on top of your writing and grammar game.
;professors	 teacher	 positive	One of the best professors UIC has to offer.
;problems;null	 teaching approachable	 negative negative	He never explains things in a general form and just goes over random problems right in the beginning.
;notes	 attendance	 neutral	Just make sure you show up and do what she says and take her notes and you will be good!
;class	 course	 positive	As an Anth major I found this class fairly easy.
;professor;lecture notes	 teacher teaching	 positive positive	Great professor, explains things very clearly, even better than his lecture notes.
;teacher;coding and computers	 teacher relevant	 positive positive	Great teacher, thanks to whom I fell in love with coding and computers again.
;null;teacher	 teacher teacher	 positive negative	Good guy but overall a bad teacher.
;null	 teacher	 positive	Amazing professor who really cares about her students.
;teacher;class	 teacher course	 positive negative	Good teacher, difficult class.
;si sessions	 approachable	 positive	Read the book, SI sessions help.
;null	 teacher	 negative	She is rough.
;null;exams;book	 teacher exam exam	 positive positive positive	one of the best science teachers tha t i know of.. knows his material very well.. his exams are tough,  u need to read the book very carefully, like every line..haha..overall, he is awesome
;tests	 exam	 negative	sometimes there is more on his tests than he alludes to.
;null;teaching style	 teacher teaching	 positive negative	Randall Phillis is a great guy, but his teaching style is very strange.
;self-teaching;book;hw	 exam exam exam	 negative negative negative	You do a lot of self-teaching using the book and HW.
;instructor	 teacher	 positive	He was a great instructor, and increased my interest in dance.
;null;lectures	 knowledge teaching	 positive positive	He's clearly super knowledgeable about the subject he teaches and he enjoys what he does which is definitely relayed in his lectures.
;students	 approachable	 positive	She really cares about her students and would help them anyway she can!
;material;lectures	 teaching teaching	 negative negative	You really need to teach yourself the material in order to pass because his lectures are all over the place.
;calc;class	 course course	 negative negative	class is hard but calc 2 is hard.
;teacher	 teacher	 positive	Awesome teacher.
;teaching	 teaching	 positive	He is enthusiastic about his teaching and wants you to understand.
;quizzes;review	 exam exam	 positive positive	Holds weekly review for quizzes.
;prof	 teacher	 positive	really cool prof. one of the best at UIC
;null	 teacher	 positive	Mehran is awesome.
;gpa	 grading	 positive	Had her three times this semester, and I wouldn't have gotten my gpa where it could be without her.
;review sessions;exam	 approachable approachable	 positive positive	Also holds review sessions the night before every exam.
;rough grader;intro level class	 grading grading	 negative negative	I got a rough grader compared to my peers so I had to pull my weight in this intro level class.
;null;null	 grading teacher	 positive positive	Great class, easy A if you study.
;null;lecturing	 teacher teaching	 positive negative	I guess people would say she is easy and she is but she is all over the place when it comes to lecturing.
;class	 course	 neutral	This class is not easy as an 8 week class, but if you follow JE's outline you can do all the work during the week and have weekends off.
;movies;anthropologist	 teaching teaching	 positive positive	Pay attention to movies, especially what anthropologist related to which movie.
;exam	 exam	 negative	I walked into the final exam touting an A average, and failed the exam, which landed me with a final grade of a C. This class was absolutely horrible, and you have no choice but this man.
;professor	 teacher	 positive	He's a good professor and is interesting.
;group video project	 exam	 negative	He also makes you do a group video project throughout the semester.
;character	 teaching	 negative	In a nutshell, his class is nothing more than him trying to sell his character..you're into metal, we get it!
;lecture	 teaching	 neutral	You need to go to class for Randy though, most of them are built off of the last lecture.
;teacher;person	 teacher teacher	 negative negative	Worthless teacher, worthless person, just worthless matter
;lecturer	 teaching	 positive	He's an older guy, and an old-fashioned lecturer, but I find it charming and refreshing.
;null	 approachable	 negative	Really nice guy, easy to talk to to, willing to help, but he can't teach.
;null	 exam	 positive	You have to be focused for them.
;teacher	 teacher	 positive	Professor Schurter is probably the best teacher I have had at UMass.
;questions	 answering	 positive	Read every chapter &  ask questions!!!!
;book;lecture;ppt;exams	 exam exam exam exam	 neutral neutral neutral neutral	Does use book, lecture, and ppt for exams.
;null	 approachable	 negative	not helpful at all.
;class	 course	 positive	This class honestly was the only class I actually enjoyed this semester.
;class	 course	 positive	This class is one of the best at CTC.
;professor	 teacher	 positive	Not your typical professor.
;null	 grading	 neutral	This is exactly what I did and ended up w/ A.
;examples;owls	 exam exam	 positive positive	Just put examples from owls on it and you will be fine.
;null	 relevant	 positive	If you are in college to learn and grow as a student, take his class.
;null	 teaching	 negative	You will have no idea what he is talking about.
;class	 course	 positive	It was a great class, I'd recommend her to anyone.
;tests	 exam	 negative	His tests are tricky.
;exams	 exam	 negative	His exams are difficult.
;questions	 answering	 positive	Ask questions, he is ready to help.
;null	 grading	 neutral	fair Curve
;exam	 exam	 negative	His exam were completely tuff.
;professor	 teacher	 positive	My favorite professor at UMass.
;lectures;material	 teaching teaching	 positive positive	His lectures are great to go to cuz he'll keep your attention and teaches the material in a way that you will remember it later on.
;professor	 teacher	 positive	Hands down the best professor at West Georgia.
;questions	 exam	 neutral	He honestly just uses the same questions over and over.
;null	 approachable	 negative	He is also unhelpful and his extra credit is useless.
;teacher	 teacher	 positive	Great teacher.
;professor	 teacher	 positive	Randy is a funny professor!
;intro to archaeology	 teaching	 negative	He is sometimes boring, granted the topic is intro to archaeology.
;null	 teacher	 positive	LOVE HER.
;exams	 exam	 negative	It is not clear what to study for the exams.
;prof	 teacher	 positive	She is the coolest and funniest prof. at MSU whoohoo, she is so awesome.....
;book	 teaching	 negative	Don't bother reading the book, its pointless.
;professor	 teacher	 negative	worst professor ever.
;class	 teacher	 positive	I can see where people are coming from when they negatively rate this professor, but I had no issues with the class.
;lectures;professor	 teaching teacher	 positive positive	Also, Dr. Mulumby's lectures are far from boring- he's a great professor!
;midterm;final	 exam exam	 neutral neutral	As far as the violent crime class, midterm and a final.
;exam	 exam	 negative	The exam challenges you in ways you did not expected its the mixture of testing you in a complexs way.
;null;engaging	 teacher answering	 positive positive	Brilliant, engaging, love this guy
;class;final;null	 course exam grading	 negative positive positive	Class was very hard but final wasnt bad and amazing curve.
;instructor	 teacher	 positive	Great instructor.
;null	 teacher	 positive	Fun and cool.
;class;material;iclicker;clicker	 attendance attendance attendance attendance	 positive positive positive positive	"You need to go to class to learn the material and iClicker, but he gives you 2 or 3 ""freebies"" if you miss class with clicker."
;powerpoints;book;lab manual	 exam exam exam	 neutral neutral neutral	MEMORIZE THE POWERPOINTS (I used flashcards) and look at the book and lab manual.
;professor;tests	 teacher exam	 positive positive	He was a very clear professor, his tests were very predictable, though he Intentionally throws curve balls &  he makes errors on tests so pay attention for more points!
;null	 teacher	 positive	Good guy.
;class	 course	 negative	Took this class and I have grown to hate it.
;null	 teacher	 negative	If you think calculus is hard as is and you feel like torturing yourself, then Professor Cook is for you.
;professor	 teacher	 positive	THE COOLEST PROFESSOR EVER!!
;professor	 teacher	 positive	Schurter is actually the best professor I've ever had.
;class	 teaching	 neutral	It did require lots of note taking and you had to make sure you did everything on time, but that is typical of any college class.
;lectures	 teaching	 positive	Although I didn't have any prior knowledge or interest in biology his lectures were understandable.
;paper	 exam	 negative	Literally told a student to go to the National Archives in Washington to research my paper.
;readings;lecture slides	 exam exam	 positive positive	Make sure you read the readings and study his lecture slides and you should get an A.
;tests;research paper	 exam exam	 neutral neutral	Study, study, study for the tests and do well on the research paper and you'll be fine.
;material	 relevant	 positive	I'd take her again honestly because she will relate the material to life experience to make it easier to remember.
;null	 teacher	 positive	Professor Molumby is in two words, THE MAN.
;writing materials	 teaching	 positive	He really gets his student's business writing materials in great working order for the real world.
;null	 teacher	 positive	He  definitely cares about the students as long as he sees you are trying.
;prof	 teacher	 neutral	he is a decent prof, he tries hard
;class	 teaching	 positive	He makes class kind of interesting.
;paper assignments	 exam	 negative	Paper assignments are very vague, and hard to understand exactly what she wants from them.
;lecture;exams	 teaching exam	 positive negative	He makes lecture interesting and while his exams are hard, he tells you how to get an A and if you listen it's easy.
;grade	 grading	 negative	My CC profs grade easier on papers than she does, and they do not grade easy at all.
;labs	 course	 negative	Labs are very simple, not quite interesting.
;class	 course	 negative	His class seems harder than it is because he goes on long rants about how to derive equations.
;textbook;online notes	 relevant relevant	 negative positive	I listed his use of a textbook high because he relies almost entirely on his online notes (which are free and very descriptive) so you don't have to buy an expensive book with a bunch of garbage in it.
;teachers	 teacher	 positive	Wish all teachers were like Mr Everett.
;class	 course	 neutral	If you are not a bio person do not take his class!!
;exams	 exam	 negative	exams are hard.
;teacher	 teacher	 negative	Awful, Awful teacher.
;professor	 teacher	 positive	Phillis is a great professor despite being unpopular with some students.
;goals;essays;assignments	 exam exam exam	 negative negative negative	He also hasn't realized that his scheduling sets unrealistic goals at the end of the semester by overlapping essays & other assignments.
;null	 exam	 positive	Pretty cool guy...when I had him, he gave a lot of chances for extra credit...Big time points.
;material;labs	 exam course	 negative negative	Everyone says the exams are tricky, but they aren't if you know the material.... Labs and discussion are for the most part busy work which is annoying.
;null	 grading	 positive	Easy B. Lol, if you google him you can find his myspace page.
;notes;tests;presentations	 exam exam exam	 neutral neutral neutral	Understand the notes you take because the tests will not be just spitting back the presentations.
;teacher;cultural anthropology	 teacher teacher	 positive positive	he was my favorite teacher freshman year, i am def taking cultural anthropology with him next year
;issue;response	 approachable approachable	 negative negative	When student has issue, it takes him forever to response.
;laptop	 teaching	 negative	He goes pretty fast so use a laptop or record it.
;teacher	 teacher	 negative	too bad he is the only teacher who teaches 128, which i am forced to take next semester.
;null	 teaching	 negative	She tries so hard to make it interesting, but it just not.
;writing;literature	 relevant relevant	 positive positive	If you want to learn about composition, writing, and literature FOR REAL then take his classes.
;class	 course	 positive	Challenging but rewarding class. 
;board	 teaching	 negative	He just lectures and you sit there trying to frantically copy whatever nonsense he puts on the board.
;study	 grading	 neutral	If you study you will get an A.
;class;null	 attendance exam	 neutral neutral	Need to show up to class and read whatever is assigned because you will be quizzed on it.
;reading assignments	 exam	 negative	You can do the reading assignments all you want, but that doesn't mean you'll pass.
;null	 approachable	 positive	She will provide extra help if you if you don't understand something.
;null	 approachable	 positive	He helped me to get better, and want to learn more about the dance world.
;topic	 teaching	 positive	Makes the topic interesting!
;problem	 teaching	 positive	He can explain any problem to you.
;professor	 teacher	 negative	I've never had a class with such a horrible professor.
;bios240	 teacher	 positive	I took him like 2 semester back and luckily I get to take him next semester for bios240.
;material;teaching	 teaching teaching	 negative negative	He is rediculously bad at explaining the material and should be banished from teaching.
;teacher;exams	 teacher approachable	 positive negative	He's a good teacher, but he doesn't help you prepare for exams.
;teacher	 teacher	 positive	Awesome class...even better teacher!!
;essay style	 exam	 neutral	Both essay style.
;group test	 grading	 negative	Second test was a group test yet I don't know a group who got a 100 (Though most groups got B's and A's).
;quizzes	 exam	 positive	Quizzes every Friday.
;exams;formulas	 exam exam	 positive positive	His exams are not hard, you just need to know what formulas to apply.
;class	 teacher	 negative	Frustrating class.
;null	 teacher	 positive	She's awesome!
;tests	 exam	 neutral	Tests aren't that bad if you study the ppts word by word.
;lecture	 attendance	 neutral	GO TO LECTURE.
;null	 teacher	 positive	Schurter is THE MAN.
;null	 teacher	 negative	Dr. Hora is a talker, she does love it so.
;null	 knowledge	 positive	He is a very knowledgable  person.
;instructor	 teacher	 positive	a very professional instructor and he means business so if you are looking for easy a this aint where youll find it
;null;null	 teaching teacher	 positive positive	Was extremely funny , helpful, and clear in describing the subject.
;null	 teacher	 positive	Really great guy too.
;schedule	 teacher	 positive	If you can, make space in your schedule for this class over any other professor.
;note card;tests	 exam exam	 positive positive	"Tests are pretty easy, lets you use a ""note card""  (although i actually used a sheet of paper folded in half, both sides + inside)."
;null	 teacher	 negative	haha this guy is a joke.
;lecturer;null	 teaching teaching	 positive negative	He is a good lecturer but gets off point at times.
;class;journal;mid-term;group project	 teacher exam exam exam	 positive positive positive positive	=) She is amazing and you will become attach to the class.We have a page journal due every week, mid-term, and a group project.You shouldn't have a problem in getting an A.You will learn many real life things and it is like class therapy!She is real good and I'll take her again without a doubt!
;group presentations	 exam	 neutral	2 group presentations.
;personality;fair;null	 teacher grading approachable	 positive positive positive	He's got a great personality, and makes you happy to be in class...he's also really fair at grading and understanding as a person.
;class	 teaching	 positive	Very fun, relaxed class but we learned at the same time.
;null	 teacher	 positive	She is very nice and very laidback!
;null	 exam	 positive	He gives you everything you need to do well.
;teacher	 teacher	 positive	I think he's a really good teacher.
;null	 teacher	 negative	i really didnt learn much to tell u the truth.
;class	 course	 positive	Prof. Phillis' class was challenging yet rewarding.
;professor	 teacher	 positive	Would take him again as a professor.
;professor	 teacher	 positive	He was a decent professor.
;participation	 answering	 neutral	Participation is in the form of i-Clicker.
;papers	 exam	 positive	Two papers all semester.
;power points;quizzes	 teaching exam	 negative neutral	She gave plenty of quizzes which were ok, I just wish she would have had power points or something.
;sociology	 teacher	 positive	She loves sociology & it shows.
;exam;final;test	 exam exam exam	 neutral neutral neutral	Each exam is worth 80 points and you can take an optional final that could maybe replace your lowest test grade if you do good.
;wileyplus;homework;wiley	 exam exam exam	 negative negative negative	Uses WileyPlus which is $50 and you need to buy it because thats where the homework is, and wiley sucks doesn't help you learn at all.
;lecturer;exam questions	 teaching exam	 negative negative	Is a poor lecturer who is difficult to understand (goes off on tangents like crazy) and gives really tricky exam questions.
;videos	 teaching	 positive	She shows videos to help that.
;null	 attendance	 negative	Attending lecture was certainly not necessary.
;teaching	 teaching	 negative	He honesty doesn't care about his students success and Is terrible at teaching.
;class;paper;journals;presentation	 course exam exam exam	 positive positive positive positive	This class was very easy, requiring just one big paper, 10 weekly 1 page journals, and a final presentation.
;null	 teacher	 positive	Extremely clear!
;null	 teacher	 positive	Nice Guy.
;null	 teacher	 neutral	I would say to take with caution.
;class	 teacher	 positive	Enjoyed his class.
;null	 teacher	 positive	I have a Million thanks to sahami.
;teacher	 teacher	 positive	Easy Easy teacher.
;null	 relevant	 negative	Would rather have learned about organelle biology that more directly relates to us.
;class	 teacher	 positive	I really enjoyed taking his class!
;teacher	 teacher	 negative	This teacher was way too interested in the sound of her own voice.
;class	 teacher	 negative	I do not recommend anyone taking his class.
;coursework;research work;lecture material;office hours	 teaching teaching teaching approachable	 negative negative negative negative	He fails to properly prepare people for future coursework: He poorly taught research work ethic and skills (critical); lack of directing focus to lecture material.. Also, office hours are purposely set to make it hard for you to get to them.
;professor	 teacher	 positive	He is the best professor I've ever had in my college career.
;office hours;class	 approachable approachable	 positive positive	He is very helpful during office hours and after class.
;null	 teacher	 positive	Mehran Sahami rocks.. And that's it.
;class	 teacher	 negative	I absolutely hate this class.
;professor;biology	 teacher teacher	 positive positive	A professor that alters my view to biology completely.
;null;class	 teacher course	 positive negative	Prof. Cook is a very nice man but his class is very difficult.
;exams	 exam	 neutral	2)His exams are tricky on purpose, but practice off old exams.
;teaching	 teaching	 positive	I liked him a lot, he really seems to like his students and enjoy teaching.
;papers	 grading	 negative	oh my goodness he is passionate but he grades our papers as if are papers are going to be published.
;null	 teacher	 positive	He teaches some Animal Behavior classes at Columbia, and let's just say we're very happy to have him here.
;null	 teaching	 negative	BUT ITS USELESS BECAUSE YOU CANT EVEN HEAR HIM.
;helps;test;reading quizzes	 approachable exam exam	 positive positive positive	Mr. Everett also helps students if they as for it and his test as well as reading quizzes are simple if you study.
;teachers	 teacher	 positive	Professor Sacher is the funniest and one of the best teachers I have had so far at MSU.
;class	 teacher	 positive	I loved going to class.
;teacher	 teacher	 positive	Loved the class, she is a funny teacher who will do anything you need.
;null	 teacher	 positive	I loved her!
;null	 teacher	 positive	Such a cool guy.
;null	 knowledge	 positive	He knows a lot about genetics in which I am interested.
;exams	 exam	 negative	Well, I would agree his exams were very difficul.
;null;tests	 teaching exam	 negative negative	He tends to ramble a lot and his tests are a bit difficult.
;material	 teaching	 negative	Only take this class if you're comfortable with teaching yourself the material.
;professors;details	 approachable approachable	 positive positive	One of few professors who remembers personal details about you and will go out of his way to help you out.
;professor	 knowledge	 positive	Very great and knowledgeable professor.
;tests;answer	 exam exam	 neutral neutral	Tests are short answer & MC.
;weeks;null	 attendance course	 positive positive	I only went to class for the first two weeks of the semester and still got an A.
;class	 teaching	 positive	OUTSTANDING class!
;class;notes	 attendance attendance	 neutral neutral	you cannot expect to do well by simply showing up to class and taking notes.
;lectures;clickers	 teaching teaching	 positive positive	"Neat lectures and uses ""who wants to be a millionare"" clickers."
;null	 knowledge	 positive	Really knows what she's talking about.
;exams;quizzes;intro course	 exam exam course	 negative negative negative	I will admit he definitely does care for his students but the way his exams and quizzes were designed made it a difficult intro course.
;labs	 course	 positive	Labs are very easy.
;test	 exam	 neutral	if you want an A you will have to spend sometime before the test studying.
;personality	 teacher	 neutral	Cook ads his unique personality to math somtimes making it fun and at other times it makes class very confusing.
;teacher	 teacher	 positive	he is an awesome teacher.....!
;null	 teaching	 positive	I love the fact that she relates her life to her students because she has once been where we are and she keeps it real.
;null	 teaching	 positive	This guy can teach!
;null	 teacher	 negative	it was god awful.
;exams	 exam	 positive	That's the info that he puts on his exams.
;powerpt slides	 attendance	 neutral	Its not really necessary to attend the lectures as long as you have the powerpt slides printed out.
;lectures	 teacher	 positive	Lectures are fun and interesting.
;exam questions;lecture;power points	 exam exam exam	 positive positive positive	The exam questions come directly from lecture, so studying the power points is helpful but insufficient.
;exams;previous exams	 exam exam	 neutral neutral	Exams weren't that hard, but you had to make sure you study previous exams well so you are familiar with the questions.
;null	 teacher	 negative	He sucks!!!
;null	 approachable	 positive	He always helped if I needed it.
;tests;homeworks;attendance	 exam exam attendance	 positive positive positive	Tests were not very hard, very few homeworks, and attendance was not required.
;powerpoints	 teaching	 negative	The only thing that I didn't like was the fact that she gave no powerpoints or anything to go by.
;off-topic	 teaching	 positive	Goes off-topic too often.
;null	 approachable	 negative	Very unhelpful.
;labs	 course	 positive	Labs were rofl easy!
;professor	 teacher	 positive	He's a good professor.
;classes	 teaching	 positive	her classes were so interesting and insightful i changed my major from psychology to criminology.
;history;british literature;culture	 course course course	 neutral neutral neutral	If you want to learn more about British literature, history, and culture, take it!
;professor	 teacher	 positive	Good professor if you like microbio and you have an interest in cancer cells as he likes to talk about them a lot.
;note cards	 teaching	 negative	basically what was previously said, she reads off of a bunch of note cards and has no idea what she is talking about.
;jokes	 teaching	 negative	Very nice professor, he means well and tries to crack jokes to keep students entertained, but he just cannot teach.
;exams;quizzes;problems	 exam exam exam	 neutral neutral neutral	Exams and quizzes are all critical thinking tf problems that are confusing and hypothetical.
;null	 teacher	 negative	very personable, wants to know everyone, but try someone else for this course.
;class;time	 attendance attendance	 negative negative	going to class, for me, seems like a waste of time.
;null	 teacher	 positive	I ABSOUTELY LOVE HER !
;old exams	 exam	 neutral	STUDY THE OLD EXAMS THEY ARE ALMOST EXACTLY THE SAME!
;subject	 teaching	 positive	While most people in this class dont enjoy the subject, he does a good job explaining an otherwise boring subject.
;class	 course	 positive	The work is easy and the class is great to hear everyone else's drama and tell your own.
;null;null	 teacher approachable	 negative negative	Very arrogant man, which made him unapproachable for help.
;course material	 course	 positive	Expect to study hard - all course material and then some.
;lectures;labs;null	 teaching teaching approachable	 positive positive positive	His lectures are decent, his labs are awesome, and he's always willing to help students when they're stuck.
;textbook	 relevant	 negative	Textbook is useless.
;tests;assignment	 exam exam	 neutral neutral	3 tests & 1 assignment.
;teacher	 teacher	 neutral	Overall, I wouldn't say she is the best teacher.
;lectures;notes;null	 teaching teaching teacher	 positive positive neutral	I found his lectures entertaining, class doesn't drag and moves a comfortable pace as long as u print the notes ahead of time, u do need to hear and understand what he is saying more than writing down it down(stories do show up on exams).
;ppt slides	 exam	 negative	MEMORIZE every minute detail of the PPT slides.
;material;hw;exams	 exam exam exam	 negative negative negative	Material on hw and exams are completely different from what he teaches.
;grades	 grading	 positive	He does drop your three lowest quiz grades though and averages the test grades out to be best for you.
;patience;students	 approachable approachable	 positive positive	I appreciate his patience and caring for students who seek for help.
;class	 course	 neutral	Expect for things to move along quickly and if you fall behind, this class can become difficult.
;lecturer	 teacher	 positive	He is a very interesting lecturer and really funny!
;null	 teacher	 positive	shes great
;null	 teacher	 positive	very cool guy,a lot of info and a very bright mind.
;class	 attendance	 positive	Very helpful to go to class for the notes.
;null	 course	 neutral	Taking AP Bio before this class also makes it very easy to understand.
;null	 approachable	 positive	shes super nice too so ask and shell help.
;notes;null;experiments	 teaching teaching teaching	 neutral negative neutral	all notes are on the net... teaches nothing else... not very helpful... does cool experiments in class... dry humor
;class;office hours	 teaching approachable	 positive positive	He's super funny in class and when you go into office hours he's more than happy to have you.
;grade	 grading	 neutral	If you want a good grade, show up at class and follow what he says very closely.
;null	 teacher	 positive	He's is such an awesome guy!
;material;quizzes;tests;review;si sessions	 exam exam exam exam exam	 neutral neutral neutral neutral neutral	The material and quizzes and tests can be hard but if you go to review and SI sessions you will be fine.
;essays	 exam	 negative	His essays were very difficult for me.
;null	 teaching	 negative	He's very unclear, and his jokes probably got old around the dawn of indoor plumbing.
;old exams;power point slides	 exam exam	 negative negative	The best way to prepare yourself is studying off old exams and attempting to memorize all 100+ power point slides, literally.
;teaching style	 teaching	 negative	Her teaching style dated.
;teacher;test questios	 teacher exam	 positive negative	Cool teacher, test questios are overly confusing, but you learn what you need to know.
;classes	 teaching	 positive	You learn so much from her classes and she's the reason I want to get into the field of Criminology.
;application;memorization	 teaching teaching	 positive positive	He is all about application and less about memorization.
;null	 teacher	 positive	This man is great, I know only one man that can teach so well.
;null	 approachable	 positive	he does help with some things and you can always ask him for extra help.
;exams	 exam	 neutral	SO basically the people who studied only old exams got screwed.
;lecture	 teaching	 negative	A lot of the stuff he says during lecture have nothing to do with bio and are a waste of time.
;tests	 exam	 neutral	If you memorize and understand these few equations, then tests are s
;concepts;math	 teaching teaching	 negative negative	I love math, and i normally understand the concepts in math very well, but he just doesn't know how to teach.
;null;null	 teacher teaching	 positive negative	He is a nice guy, but does not know how to teach at all!
;teacher	 teacher	 positive	GREAT TEACHER, SHE IS TRULY A SWEETHEART.
;tests	 exam	 positive	Makes you work hard, and gives hard tests but they aren't worth much.
;class	 attendance	 negative	Might as well not even attend class.
;papers;criticism	 exam exam	 neutral neutral	As long as you turn in all of your papers, try your best to improve each time, are receptive to constructive criticism, and give this class your all, you will do well.
;professor;class	 teacher course	 neutral positive	Average professor and the class was an easy A.
;tests	 exam	 neutral	Tests can be challenging, but if you don't do well, it's on you.
;teaching	 teaching	 negative	Horrible teaching!
;null	 grading	 negative	He grades harshly while putting students down indirectly in class.
;class	 teaching	 neutral	If you aren't good at math don't take this class if you don't have to.
;null	 teacher	 negative	She is someone not to cross, be warned.
;class discussions;opinions	 answering answering	 positive positive	The class discussions and opinions really makes you involved and makes you form your own ideas.
;null	 teacher	 positive	She is such a nice lady.
;null	 teacher	 negative	He is rude at times.
;teacher;class	 teacher course	 positive negative	Great teacher...somewhat difficult class.
;calculus	 course	 neutral	If you didn't take calculus in high school, like I didn't, you're gonna have a hard time.
;exams;final	 exam exam	 neutral neutral	3 exams, 1 opt final.
;null	 teaching	 positive	One of  the most impressive lecture at Stanford.
;attendance;quiz	 attendance exam	 positive negative	Quiz everyday and attendance is important.
;tools;letter grade	 teaching teaching	 positive positive	Mr. Everett wants you to walk away from his class with the tools for the future and not just the letter grade.
;null;null;material	 teacher knowledge teaching	 positive positive positive	he's nice, very informative, makes material easy to understand and makes it a enjoyable experience.
;mercedes-benz	 teacher	 negative	Oh yeah, he is extremely materialistic and will constantly brag about his base model Mercedes-Benz.
;null	 teaching	 negative	If you sit from the middle to the back of the lecture hall you won't hear a word he says.
;labs	 relevant	 negative	Labs are useless.
;professor	 teacher	 negative	A nice guy, but a blah professor.
;opinion	 answering	 positive	I love how she gives you the freedom to express yourself and she isn't bias to any opinion.
;books;study guides	 teaching teaching	 neutral neutral	However, we never talked about in depth was going on in the books so when study guides came around you didn't know what was on it.
;teacher;introductory computer science course;stanford	 teacher teacher teacher	 positive positive positive	Simply the best teacher of Introductory Computer Science Course at Stanford.
;quizzes;scantron;clicker	 exam exam exam	 positive positive positive	Gives quizzes every Friday, usually scantron at the end of class but will change it up once in a while to do it during class as clicker.
;exams;final;si sessions	 exam exam exam	 positive positive positive	Theres 3 exams plus the final which are tough but if you put in the time and utilize the SI sessions you should do ok.
;labs	 course	 positive	The labs are pretty easy and straight forward.
;teacher	 teacher	 positive	Best online teacher ever.
;null	 approachable	 positive	He knows what he's talking about and is eager to help when you need it.
;professor	 teacher	 positive	Yea great professor.
;material	 relevant	 positive	She really tries to help students understand and relate material to current society.
;lectures	 teacher	 positive	He's pleasant and definitely not boring; I learned a lot from his lectures.
;course;instructor	 course course	 positive positive	If you don't do well on his course, even if you were without an instructor, you are a god damn shame.
;professor	 teacher	 positive	Randy is a great professor and wants you to do well in his class.
;exams;homework;grades	 exam exam exam	 positive positive positive	There are only 4 total grades - 3 exams and homework.
;null;null	 teaching grading	 positive positive	It's interesting, very fair, and I don't know of anyone in the class who doesn't participate or who doesn't like the class.
;tests	 exam	 negative	Blame the department for the hard tests but practice tests are nothing like the real ones.
;lectures;null	 teaching approachable	 positive positive	Very lively lectures and amazingly approachable.
;lecture hall	 teaching	 negative	He is not only extremely disorganized but he also refuses to clearly answer anything and if he does not like you, will sass you in front of the entire lecture hall (did not happen to me, happened to a friend).
;topic;lectures	 teaching attendance	 negative negative	He is always off topic, it is useless to go to lectures, you will have to do everything on your own.
;null	 attendance	 positive	I actually never went (and never took Calc in highschool).
;null	 teacher	 positive	Dr. Molumby was the lone highlight of my stint here at UIC.
;null	 teacher	 positive	He is very helpful and straightforward.
;class	 teacher	 positive	I recommend taking his class!
;questions;material	 teaching teaching	 neutral neutral	He is extremely confusing but if you sit up front and persevre and ask questions you'll get the material and an A.
;film clips;current events;class lectures	 teaching teaching teaching	 positive positive positive	Film clips and current events really break up the monotony of the usual class lectures.
;prof;class	 teacher teacher	 positive positive	Very funny prof. and easy to get along with if you at least put some effort into his class.
;null	 knowledge	 positive	Well knowledgeable professor.
;null	 teacher	 positive	He is hilarious and is very easy to talk to.
;lectures	 teaching	 positive	As long as you focus on what he says during lectures, it's pretty clear cut.
;english	 teacher	 positive	He is passionate about English.
;question;exam	 exam exam	 positive positive	Usually the question you ask ends up on the exam so it's a bonus.
;facts	 teaching	 positive	He would rather students learn to problem solve and think analytically than memorize facts.
;test questions	 exam	 negative	His test questions are very confusing.
;professor	 teacher	 positive	Extremely helpful professor.
;biology;history	 teaching teaching	 negative negative	Thought his class would be more biology based but it felt more like a history class.
;teacher	 teacher	 positive	Good teacher overall.
;sources;papers	 exam exam	 negative negative	He was somewhat careless about checking sources in my papers, but he did give me points back once I pointed that out.
;null	 course	 negative	For the rest of us, plan on struggling as u try to learn on your own.
;null	 teacher	 positive	Prof Cook is an excellent man.
;skills	 relevant	 positive	You leave his class having learned life skills that will actually help you in your career.
;field of work	 teacher	 positive	I think he is one of the smartest, most passionate about his field of work.
;grading scale	 grading	 positive	Only positive is the grading scale is really easy.
;help	 approachable	 positive	willing to help if you ask.
;teachers;courses	 teacher teacher	 positive positive	Hard to find online teachers that can keep up with short term courses, and she excels.
;work	 course	 positive	A lot of work, but enjoyable.
;class;lectures	 attendance teaching	 negative negative	Because he stopped doing iClickers, I stopped going to class because I learn absolutely nothing from his lectures (and I still learn more from studying than from his lectures).
;null	 exam	 positive	If you actually study and seek help when you do not understand something, you will excel.
;notes;si sessions	 exam exam	 neutral neutral	Take the best notes you can (struggle) and GO TO ALL THE SI SESSIONS if you want an A.
;interpretation;literature	 answering answering	 positive positive	Everett expects you to persuasively argue your interpretation of literature.
;null	 teacher	 positive	With respect to humanity, Cook is an extremely pleasant and grandpa-esque little man.
;null;attendance;papers	 teacher attendance exam	 negative negative negative	She's pretty hard, expects attendance, and her papers are tough if you don't know/care about philosophy.
;lectures	 relevant	 positive	I loved the lectures and learnt a lot.
